text,drug,effect
"When SASP was changed to 5-aminosalicylic acid (5-ASA), his skin eruptions were resolved, however, he developed weakness and atrophy in his right arm as well as progressive worsening of the dysesthesia in his legs and gait disturbance.",5-aminosalicylic acid,weakness
"When SASP was changed to 5-aminosalicylic acid (5-ASA), his skin eruptions were resolved, however, he developed weakness and atrophy in his right arm as well as progressive worsening of the dysesthesia in his legs and gait disturbance.",5-ASA,weakness
"When SASP was changed to 5-aminosalicylic acid (5-ASA), his skin eruptions were resolved, however, he developed weakness and atrophy in his right arm as well as progressive worsening of the dysesthesia in his legs and gait disturbance.",5-aminosalicylic acid,worsening of the dysesthesia
"When SASP was changed to 5-aminosalicylic acid (5-ASA), his skin eruptions were resolved, however, he developed weakness and atrophy in his right arm as well as progressive worsening of the dysesthesia in his legs and gait disturbance.",5-ASA,worsening of the dysesthesia
Disseminated cellulitic cryptococcosis in the setting of prednisone monotherapy for pemphigus vulgaris.,prednisone,Disseminated cellulitic cryptococcosis
"In both cases, high fever, skin rash, liver dysfunction and atypical lymphocytosis developed 3 weeks after initiating treatment with SASP.",SASP,atypical lymphocytosis
"In both cases, high fever, skin rash, liver dysfunction and atypical lymphocytosis developed 3 weeks after initiating treatment with SASP.",SASP,high fever
"In both cases, high fever, skin rash, liver dysfunction and atypical lymphocytosis developed 3 weeks after initiating treatment with SASP.",SASP,liver dysfunction
"In both cases, high fever, skin rash, liver dysfunction and atypical lymphocytosis developed 3 weeks after initiating treatment with SASP.",SASP,skin rash
Slow acetylator genotypes as a possible risk factor for infectious mononucleosis-like syndrome induced by salazosulfapyridine.,salazosulfapyridine,infectious mononucleosis-like syndrome
We report two patients with infectious mononucleosis-like syndrome induced by salazosulfapyridine (SASP).,salazosulfapyridine,infectious mononucleosis-like syndrome
We report two patients with infectious mononucleosis-like syndrome induced by salazosulfapyridine (SASP).,SASP,infectious mononucleosis-like syndrome
"A 45-year-old woman with steroid-dependent Crohn's colitis, successfully managed with maintenance infliximab infusions and methotrexate, developed a lupus-like syndrome eight months after her initial infusion.",infliximab,lupus-like syndrome
"A 45-year-old woman with steroid-dependent Crohn's colitis, successfully managed with maintenance infliximab infusions and methotrexate, developed a lupus-like syndrome eight months after her initial infusion.",methotrexate,lupus-like syndrome
A lupus-like syndrome associated with infliximab therapy.,infliximab,lupus-like syndrome
Infliximab therapy may cause a lupus-like syndrome that is reversible upon discontinuing this agent.,Infliximab,lupus-like syndrome
"We report in detail an unusual adverse reaction to infliximab therapy, a drug-induced lupus-like clinical syndrome.",infliximab,lupus-like clinical syndrome
"Chronic myelogenous leukemia (CML), hepatitis C, and interferon alpha (IFNalpha) have all been associated with renal dysfunction.",IFNalpha,renal dysfunction
"Chronic myelogenous leukemia (CML), hepatitis C, and interferon alpha (IFNalpha) have all been associated with renal dysfunction.",interferon alpha,renal dysfunction
"Despite the underlying hepatitis C, this case represents renal abnormalities consistent with IFNalpha therapy for CML.",IFNalpha,renal abnormalities
Interferon-alpha-induced focal segmental glomerulosclerosis in chronic myelogenous leukemia: a case report and review of the literature.,Interferon-alpha,focal segmental glomerulosclerosis
"The renal biopsy showed focal segmental glomerulosclerosis, which has only been previously reported in two cases of CML treated with IFNalpha.",IFNalpha,focal segmental glomerulosclerosis
Severe autoimmune hemolytic anemia following rituximab therapy in a patient with a lymphoproliferative disorder.,rituximab,autoimmune hemolytic anemia
"The pathophysiological mechanisms remain unknown, although the drug could act through massive cytokines liberation after destruction of CD20 positive cells by rituximab.",rituximab,destruction of CD20 positive cells
"The pathophysiological mechanisms remain unknown, although the drug could act through massive cytokines liberation after destruction of CD20 positive cells by rituximab.",rituximab,massive cytokines liberation
"We report the first case, to our knowledge, of rituximab-related autoimmune hemolytic anemia.",rituximab,autoimmune hemolytic anemia
Early-onset acute transverse myelitis following hepatitis B vaccination and respiratory infection: case report.,hepatitis B vaccination,acute transverse myelitis
"In this paper, we report a case of 3 years-old boy who developed acute onset tetraparesia following a viral respiratory infecction and hepatitis B vaccination.",hepatitis B vaccination,acute onset tetraparesia
"Although it would be expected that, like other type IA toxicities, diphenhydramine-induced cardiotoxicity could be responsive to hypertonic sodium bicarbonate, this finding is largely unappreciated.",diphenhydramine,cardiotoxicity
Diphenhydramine-induced wide complex dysrhythmia responds to treatment with sodium bicarbonate.,Diphenhydramine,dysrhythmia
"However, because diphenhydramine also exhibits type IA sodium channel blockade, cardiac toxicity is also possible.",diphenhydramine,cardiac toxicity
We describe 3 cases of diphenhydramine-induced cardiac toxicity that were responsive to bicarbonate.,diphenhydramine,cardiac toxicity
We describe a patient with extranodal non-Hodgkin lymphoma who developed systemic candidiasis after treatment with a cyclophosphamide-based chemotherapy regimen.,cyclophosphamide,systemic candidiasis
Stevens-Johnson syndrome in a boy with nephrotic syndrome during prednisolone therapy.,prednisolone,Stevens-Johnson syndrome
"We report a case of SJS in a 14-year-old male with nephrotic syndrome, who was treated with oral prednisolone for 6 weeks.",prednisolone,SJS
A 25-year-old man with a history of mid-borderline (BB) Hansen's disease developing a reversal reaction after starting dapsone and rifampin therapy is presented.,dapsone,reversal reaction
A 25-year-old man with a history of mid-borderline (BB) Hansen's disease developing a reversal reaction after starting dapsone and rifampin therapy is presented.,rifampin,reversal reaction
"However, in order to avoid neuropathic side effects, patients under thalidomide therapy should be monitored every 6 months with nerve conduction studies while taking the drug.",thalidomide,neuropathic side effects
"After a two-month interruption of interferon administration, natural interferon alpha was given but followed by another episode of the same neurological manifestations.",interferon alpha,neurological manifestations
"Case 1, a 62-year-old woman, developed bilateral optic neuritis with decreased sensation of vibration and increased deep tendon reflex in the lower extremities after a seven-month use of recombinant interferon alpha-2a for chronic active hepatitis C.",recombinant interferon alpha-2a,bilateral optic neuritis
"Case 1, a 62-year-old woman, developed bilateral optic neuritis with decreased sensation of vibration and increased deep tendon reflex in the lower extremities after a seven-month use of recombinant interferon alpha-2a for chronic active hepatitis C.",recombinant interferon alpha-2a,decreased sensation of vibration
"Case 1, a 62-year-old woman, developed bilateral optic neuritis with decreased sensation of vibration and increased deep tendon reflex in the lower extremities after a seven-month use of recombinant interferon alpha-2a for chronic active hepatitis C.",recombinant interferon alpha-2a,increased deep tendon reflex
"Case 2, a 29-year-old woman, developed bilateral optic neuritis combined with numbness of the lower extremities as well as bowel and bladder dysfunction after a 22-month use of recombinant interferon alpha-2b for chronic myelogenous leukemia.",recombinant interferon alpha-2b,bilateral optic neuritis
"Case 2, a 29-year-old woman, developed bilateral optic neuritis combined with numbness of the lower extremities as well as bowel and bladder dysfunction after a 22-month use of recombinant interferon alpha-2b for chronic myelogenous leukemia.",recombinant interferon alpha-2b,bowel and bladder dysfunction
"Case 2, a 29-year-old woman, developed bilateral optic neuritis combined with numbness of the lower extremities as well as bowel and bladder dysfunction after a 22-month use of recombinant interferon alpha-2b for chronic myelogenous leukemia.",recombinant interferon alpha-2b,numbness of the lower extremities
"CONCLUSIONS: Optic neuritis in combination with other neurological signs, simulating multiple sclerosis, should be included in the list of adverse effects of recombinant and natural interferon alpha administration.",interferon alpha,neurological signs
