"damage_class","narr_cause"
"Substantial","A loss of control on final approach due to encountering a strong wind gust and downdraft."
"Destroyed","The pilot's failure to maintain flying speed that resulted in a stall and subsequent  loss of control in flight."
"Substantial","the student pilot's improper decision to fly northeast of the airport with winds from the southwest, and his subsequent diverted attention to the glider's proximity to the airport while he searched for thermals, which resulted in an off airport landing."
"Substantial","The pilot's failure to follow the published instrument approach procedure."
"Substantial","The pilot's inadequate aircraft handling procedure and failure to maintain directional control while landing in a known crosswind."
"Substantial","The pilot's failure or inability to maintain proper runway alignment during landing.  Factors included gusty crosswind conditions and the pilot's lack of experience in crosswind landings."
"Substantial","the flight instructor's failure to maintain directional control during the landing roll.  A contributing factor was the left main wheel brake which was locked for an undetermined reason."
"Substantial","The pilot's failure to maintain directional control during the takeoff roll."
"Substantial","A loss of engine power due to a failure of the number 5 piston for undetermined reasons.   A factor in this accident was the inadequate emergency handling provided by the air route traffic controller."
"Substantial","the pilot's failure to maintain aircraft control during the takeoff roll."
"Destroyed","failure of the pilot-in-command to maintain altitude/clearance, resulting in an in-flight collision with rising terrain."
"Substantial","The pilot's improper aircraft handling and decision to prematurely raise the landing gear during takeoff.  Contributing factors were his lack of experience taking off under the high density altitude condition and his improper maintenance."
"Substantial","The pilot's inadequate visual lookout while manuevering at low level.  A factor was the pilot's improper decision to conduct low-level flight."
"Destroyed","The pilot's failure to maintain obstacle clearance during a go-around, which resulted in the aircraft impacting a tree."
"Destroyed","the pilot's failure to maintain aircraft control due to his incapacitation for an undetermined reason.  A contributing factor was the subsequent inadvertent stall/spin to the ground."
